Drug Reaction,stop irritation,Stay hydrated,stop taking drug,follow up,common medications may include antihistamines or corticosteroids,"Alongside a diet plan emphasizing anti-inflammatory foods like fruits, vegetables, whole grains, lean proteins, and healthy fats, while avoiding potential trigger foods such as processed foods, high-sugar items, and common allergens like dairy or gluten"
Malaria,Stay hydrated,avoid oily food,avoid non veg food,keep mosquitos out,"Antimalarial medications (e.g., chloroquine, quinine, artemisinin-based combination therapies)","Consume plenty of fluids and electrolytes; eat light, easily digestible foods"
Allergy,apply calamine,cover area with bandage,Stay hydrated,use ice to compress itching,"Antihistamines (e.g., cetirizine, loratadine); Corticosteroids","Avoid known allergens; maintain a healthy, balanced diet"
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,"Thyroid hormone replacement therapy (e.g., levothyroxine)","Include iodine-rich foods (e.g., iodized salt, seafood); limit goitrogenic foods (e.g., soy, cabbage)"
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,,salt baths,"Topical corticosteroids, vitamin D analogs; Oral medications (e.g., methotrexate, biologic agents)","Maintain a healthy weight; avoid trigger foods (e.g., red meat, processed foods)"
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,common medications may include proton pump inhibitors or H2 blockers,"Alongside a diet plan focused on avoiding trigger foods such as spicy, fatty, acidic, or caffeinated items, while incorporating more lean proteins, fruits, vegetables, and whole grains to alleviate symptoms and promote digestive health."
Chronic cholestasis,cold baths,anti itch medicine,,eat healthy,Ursodeoxycholic acid,Consume a low-fat diet; avoid alcohol and fatty foods
hepatitis A,Stay hydrated,wash hands through,avoid fatty spicy food,medication,Common medications include antiviral drugs like ribavirin,"Alongside a diet plan emphasizing hydration, easily digestible foods such as fruits, vegetables, lean proteins, and whole grains, while avoiding alcohol and fatty, processed foods to support liver function and recovery."
Osteoarthristis,Regular exercise tailored to your abilities and physical therapy,Stay hydrated,follow up,salt baths,Common medications may include anti-nausea drugs like ondansetron or meclizine,"Additionally, a diet plan rich in anti-inflammatory foods such as fatty fish (salmon, mackerel), fruits and vegetables (berries, leafy greens), whole grains, nuts, and seeds can help manage symptoms and promote joint health. Avoiding processed foods, sugary snacks, and excessive red meat consumption is also advisable."
(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax,commonly prescribed medications may include antihistamines such as meclizine or dimenhydrinate,"alongside a diet plan emphasizing hydration, low-sodium foods, and avoidance of triggers like caffeine and alcohol. Additionally, incorporating balance-promoting foods rich in vitamins B and D, such as leafy greens, nuts, seeds, and fatty fish, can complement treatment efforts for managing vertigo symptoms effectively"
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,,"Fast-acting carbohydrates (e.g., glucose tablets, fruit juice)",Eat regular meals/snacks; focus on complex carbohydrates and protein
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Topical treatments (e.g., benzoyl peroxide, retinoids), Oral antibiotics, Hormonal therapy (e.g., oral contraceptives)","Avoid high-glycemic index foods (e.g., sugary snacks, refined carbohydrates); consume foods rich in antioxidants (e.g., fruits, vegetables)"
Diabetes ,have balanced diet,exercise,Stay hydrated,follow up,"common medications such as metformin, insulin, or sulfonylureas","Balanced diet plan rich in whole grains, lean proteins, fruits, vegetables, and low-fat dairy, while limiting refined sugars, saturated fats, and processed foods to help regulate blood sugar levels effectively."
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,,"Topical or oral antibiotics (e.g., mupirocin, cephalexin)",Practice good hygiene; avoid sharing personal items
